title,description,content,cleaned_content,predicted_category,predicted_category_name
Iran helicopter crash: Mohammad Mokhber becomes acting president - The Associated Press,Iranian President Ebrahim Raisi and the country’s foreign minister have been found dead hours after their helicopter crashed in fog. That leaves the Islamic Republic without two key leaders as extraordinary tensions grip the wider Middle East. Supreme Leader …,"DUBAI, United Arab Emirates (AP) Iranian President Ebrahim Raisi and the countrys foreign minister were found dead Monday hours after their helicopter crashed in fog, leaving the Islamic Republic wit… [+8395 chars]",dubai united arab emirates ap iranian president ebrahim raisi countrys foreign minister found dead monday hours helicopter crashed fog leaving islamic republic wit 8395 chars,17,talk.politics.mideast
Julian Assange wins right to appeal extradition to US to face espionage charges - USA TODAY,,,,8,rec.motorcycles
"Almost 2 months after it destroyed Baltimore’s Key Bridge, the Dali cargo ship has been moved and docked. Here’s what’s next - CNN","After 55 days stuck in the Patapsco River, the Dali cargo ship was hauled away from the site of its catastrophic crash into the Francis Scott Key Bridge – a crucial step toward fully reopening the busy Port of Baltimore.","After 55 days stuck in the Patapsco River, the Dali cargo ship was hauled away from the site of its catastrophic crash into the Francis Scott Key Bridge a crucial step toward fully reopening the busy… [+4478 chars]",55 days stuck patapsco river dali cargo ship hauled away site catastrophic crash francis scott key bridge crucial step toward fully reopening busy 4478 chars,12,sci.electronics
JPMorgan CEO Jamie Dimon signals retirement is closer than ever - CNBC,The ambiguity of Dimon's plans has made succession timing at JPMorgan one of the persistent questions for the bank's investors and analysts. He is 68.,"Jamie Dimon's days as CEO of JPMorgan Chase are numbered though its unclear by how much.
In a response to a question Monday about the bank's succession planning, Dimon indicated that his expected te… [+1315 chars]",jamie dimon days ceo jpmorgan chase numbered though unclear much response question monday bank succession planning dimon indicated expected te 1315 chars,14,sci.space
"Echocardiograms, cardiac calcium tests: Should you get these checkups? - The Washington Post","Some tests have been found to be used far too often, at little benefit.","Consumer Reports has no financial relationship with any advertisers on this site.
Echocardiograms. Stress tests. Cardiac calcium tests. You may well have had some or all of these. Your doctor may ha… [+247 chars]",consumer reports financial relationship advertisers site echocardiograms stress tests cardiac calcium tests may well doctor may ha 247 chars,13,sci.med
Microsoft Surface Pro announced: price and release date - The Verge,"Microsoft’s new laptop / tablet hybrid device comes with improved processors, a new focus on AI, and new keyboard and stylus accessories.","The new, faster Surface Pro is Microsofts all-purpose AI PC
The new, faster Surface Pro is Microsofts all-purpose AI PC
 / The newest generation in the tablet / laptop hybrid line comes with some b… [+4030 chars]",new faster surface pro microsofts purpose ai pc new faster surface pro microsofts purpose ai pc newest generation tablet laptop hybrid line comes b 4030 chars,3,comp.sys.ibm.pc.hardware
Live updates: AC issues affecting multiple Houston ISD schools - Houston Chronicle ,"Follow along for the latest on power outages, road conditions, school closures and more following Houston's deadly May thunderstorm.","People walk through a Bridgeland neighborhood as families begin cleaning up storm damage on Sunday, May 19, 2024, in Cypress. The suburban Houston area of Bridgeland suffered major damage last week a… [+17801 chars]",people walk bridgeland neighborhood families begin cleaning storm damage sunday may 19 2024 cypress suburban houston area bridgeland suffered major damage last week 17801 chars,7,rec.autos
Medical examiner arrives at Gilgo Beach suspect’s house as search continues - NewsNation Now,Heuermann is currently awaiting trial in the deaths of four women whose bodies were found along Gilgo Beach.,"(NewsNation) Police served a search warrant Monday at the home of Rex Heuermann, the suspect in the deaths of four women whose bodies were found along Gilgo Beach, NewsNation has confirmed.
No famil… [+4759 chars]",newsnation police served search warrant monday home rex heuermann suspect deaths four women whose bodies found along gilgo beach newsnation confirmed famil 4759 chars,16,talk.politics.guns
Microsoft ushers in new era of Windows with 'Copilot+' PCs — the true next-gen AI laptops are here - Windows Central,"The next stage of the AI PC is here, and it comes in the form of Copilot+ PCs that are capable of some truly next-gen AI experiences.","Microsoft today announced what it’s calling “a new era” of the Windows PC with Copilot+, a set of next-gen AI features and experiences for Windows 11 that will ship exclusively on new Copilot+-brande… [+4410 chars]",microsoft today announced calling new era windows pc copilot set next gen ai features experiences windows 11 ship exclusively new copilot brande 4410 chars,2,comp.os.ms-windows.misc
"Stealing from Trump was 'self-help,' Cohen testifies at hush money trial - Reuters",,,,8,rec.motorcycles
